Kode Produk,Nama Produk,Unassigned,GUDANG KEBUN,GUDANG PROCESSING,GUDANG BARANG JADI,GUDANG BAHAN BAKU,GUDANG BINTARO,GUDANG BINTARO PROCESSING,GUDANG BARANG SETENGAH JADI,GUDANG BARANG AFKIR,Kuantitas Total,Satuan Produk
PE137,Rider 500 cc,0,0,0,0,5000,0,0,0,0,5000,ml
VROCK1KG,Rocket,0.2,0,0,0.4,0,0,0,0,0,0.6,KG
VROOT1KG,Rootbeat,0,0,0,4.1,0,0,0,0,0.5,4.6,KG
VROSE1KG,Rosemarry,0,0,0,0.3,0,0,0,0,0,0.3,KG
VSAST1KG,Saledri Stick,-3,0,0,7.1,0,0,0,0,0,4.1,KG
VSAPU1KG,Sawi putih,-3.5,0,0,10.5,0,0,0,0,0,7,KG
VSEAI1KG,Selada Air,-1.25,0,0,1.15,0,0,0,0,0.27,0.17,KG
VSEBU1KG,Selada Butterhead,-0.25,0,0,4.7,0,0,0,0,0,4.45,KG
VSEIC1KG,Selada Iceburg,-0.5,0,0,1.7,0,0,0,0,0,1.2,KG
VSEKR1KG,Selada Keriting,-0.5,0,0,6,0,0,0,0,0,5.5,KG
VSERO1KG,Selada Romaine,-0.75,0,0,3.1,0,0,0,0,0,2.35,KG
VSELE1KG,Seledri,0,0,0,0,0,0,0,0,0,0,KG
VSERE1KG,Sereh,-1.4,0,1.4,5.3,0,0,0,0,0,5.3,KG
VSIOM1KG,Siomak,-2,0,0.46,3.59,0,0,0,0,0,2.05,KG
MESMSA10,Smoked Salmon,0,0,0,0,0,0.8,0,0,0,0.8,KG
FL101,Solar,0,0,0,0,1300,0,0,0,0,1300,Ltr
FSTKO1KG,Strawberry Korea,-2,0,0,4.9,0,0,0,0,0.2,3.1,KG
FSUVA1KG,Sunk Valencia Austr,0,0,0,0,0,0,0,0,0,0,KG
FSUPC1KG,Sunpride P Candevish,0,0,0,0,0,0,0,0,0,0,KG
MESISB50,Sweet Italian Sausage Beef,0,0,0,0,0,6,0,0,0,6,KG
MESISP50,Sweet Italian Sausage Pork,0,0,0,0,0,12,0,0,0,12,KG
VTAKGR50,Tahu Yun - Yi Kuning,-5.5,0,0,13,0,0,0,0,0,7.5,KG
VTASGR50,Tahu Yun - Yi Sutra,-2.5,0,0,7,0,0,0,0,0,4.5,KG
RM110,Tanah Gambut,84,0,0,0,84,0,0,0,0,168,M3
VTAUPA25,Tauge,-1.5,0,1.8,2.81,0,0,0,0,0,3.11,KG
VTEAY1KG,Telur Ayam,0,0,0,0,0,0,0,0,0,0,Pcs
VTAKPC10,Telur Ayam Kampung,-6,0,0,193,0,0,0,0,0,187,Pcs
VTANPC10,Telur Ayam Negeri,-22,0,0,111,0,0,0,0,0,89,Pcs
VTEMPP40,Tempe,-13,0,0,12,0,0,0,0,0,-1,Pcs
VTEMBU10,Temulawak Bubuk,0,0,0,2.3,0,0,0,0,0,2.3,KG
VTELA1KG,Terong Lalap,-1.75,0,3,0.75,0,0,0,0,0.1,2.1,KG
VTEUN1KG,Terong Ungu,-3,0,0.15,12.3,0,0,0,0,0.3,9.75,KG
METCAW15,Thick Cut Apple wood Pork Bacon,0,0,0,0,0,3.45,0,0,0,3.45,KG
METCHW15,Thick Cut Hickory Wood  Pork Bacon,0,0,0,0,0,3,0,0,0,3,KG
METCRW15,Thick Cut Rambutan Wood Pork Bacon,0,0,0,0,0,1.35,0,0,0,1.35,KG
VTILO1KG,Timun Lokal,-5.5,0,2.4,16.75,0,0,0,0,0,13.65,KG
VTOCH1KG,Tomat Cherry,-0.75,0,0,20.2,0,0,0,0,0,19.45,KG
VTOGA1KG,Tomat Garnet,0,0,0,0.39,0,0,0,0,0,0.39,KG
VTOLOIKG,Tomat Lokal,-4.25,0,0,5.9,0,0,0,0,0.25,1.9,KG
VTOMIX25,Tomat Mix,-0.5,0,0,0,0,0,0,0,0,-0.5,KG
VTOMO1KG,Tomat Momotaro,-0.25,0,0,0.07,0,0,0,0,0,-0.18,KG
VTOPE1KG,Tomat Peach,0,0,0,0,0,0,0,0,0,0,KG
VTOYE1KG,Tomat Yellow Plum,0,0,0,3.3,0,0,0,0,0,3.3,KG
VTOFRIKG,Tomato Fruit,0,0,0,0,0,0,0,0,0,0,KG
VTOUM1KG,Toumio,0,0,0,0,0,0,0,0,0,0,KG
VUBCI1KG,Ubi cilembu,-2.5,0,2.2,14.3,0,0,0,0,0,14,KG
VUBUGR50,Ubi Ungu,0,0,0,0,0,0,0,0,0,0,KG
VWORT1KG,Wortel,-11,0,0,26,0,0,0,0,0,15,KG
VWOIGE25,Wortel Import,0,0,0,0,0,0,0,0,0,0,KG
RM111,Z A,0,0,0,0,5650,0,0,0,0,5650,KG
VZUCC1KG,Zuccini,-1.5,0,0,7,0,0,0,0,0.5,6,KG
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
